# Stellar evolution track /home/tal/SciTools/synt/tracks/p_new641
# Track based on the Maeder-Meynet (Geneva) evolutionary tracks
# Charbonnel, C., Meynet, G., Maeder, A., Schaller G. & Schaerer, D., 1993, A&AS, 101, 415 
# Track point   0
# Twice solar metallicity tracks
# #   M[M0]     R[R0]     L[L0]   t_MS[yr]  Teff[K]      K  T/t_MS
       M        R         L       T          Teff       K    T_t_ms
 58   65.469 1.231E+01 6.607E+05 4.256E+06 4.688E+04 -4.936 0.0000
 59   64.688 1.226E+01 6.486E+05 4.220E+06 4.677E+04 -4.923 0.0000
 60   63.907 1.214E+01 6.368E+05 4.185E+06 4.677E+04 -4.903 0.0000
 61   63.125 1.207E+01 6.237E+05 4.149E+06 4.667E+04 -4.888 0.0000
 62   62.343 1.200E+01 6.109E+05 4.114E+06 4.656E+04 -4.873 0.0000
 63   61.562 1.189E+01 5.998E+05 4.078E+06 4.656E+04 -4.853 0.0000
 64   60.781 1.177E+01 5.875E+05 4.042E+06 4.656E+04 -4.831 0.0000
 65   60.000 1.172E+01 5.768E+05 4.007E+06 4.645E+04 -4.818 0.0000
 66   59.375 1.162E+01 5.623E+05 4.024E+06 4.634E+04 -4.798 0.0000
 67   58.750 1.154E+01 5.495E+05 4.040E+06 4.624E+04 -4.780 0.0000
 68   58.125 1.150E+01 5.358E+05 4.057E+06 4.603E+04 -4.767 0.0000
 69   57.500 1.141E+01 5.224E+05 4.074E+06 4.592E+04 -4.747 0.0000
 70   56.875 1.132E+01 5.093E+05 4.091E+06 4.581E+04 -4.727 0.0000
 71   56.250 1.123E+01 4.966E+05 4.107E+06 4.571E+04 -4.707 0.0000
 72   55.625 1.115E+01 4.853E+05 4.124E+06 4.560E+04 -4.689 0.0000
 73   55.000 1.106E+01 4.732E+05 4.141E+06 4.550E+04 -4.669 0.0000
 74   54.375 1.099E+01 4.624E+05 4.158E+06 4.539E+04 -4.651 0.0000
 75   53.750 1.090E+01 4.508E+05 4.174E+06 4.529E+04 -4.631 0.0000
 76   53.125 1.081E+01 4.395E+05 4.191E+06 4.519E+04 -4.611 0.0000
 77   52.500 1.072E+01 4.285E+05 4.208E+06 4.508E+04 -4.590 0.0000
 78   51.875 1.065E+01 4.188E+05 4.225E+06 4.498E+04 -4.573 0.0000
 79   51.250 1.061E+01 4.083E+05 4.241E+06 4.477E+04 -4.560 0.0000
 80   50.625 1.053E+01 3.981E+05 4.258E+06 4.467E+04 -4.540 0.0000
 81   50.000 1.044E+01 3.882E+05 4.275E+06 4.457E+04 -4.519 0.0000
 82   49.375 1.036E+01 3.784E+05 4.292E+06 4.446E+04 -4.499 0.0000
